held_out_session,model,target,condition,ccc,pearson_r,mse,rmse
1,MeanBaseline,arousal,sync,2.3837204879898653e-31,,0.4617723228734089,0.6795383159715197
1,Ridge,arousal,sync,0.1846445083534541,0.2376555101197991,0.4520849185309559,0.6723726039414127
1,SVR,arousal,sync,-0.0788421807689644,-0.1685276850309942,0.5877231225286195,0.7666310211102988
1,LSTM,arousal,sync,0.1846445083534541,0.2376555101197991,0.4520849185309559,0.6723726039414127
1,MeanBaseline,arousal,retro,2.3837204879898653e-31,,0.4617723228734089,0.6795383159715197
1,Ridge,arousal,retro,0.222201003508351,0.281037117168835,0.426770005408776,0.6532763621996253
1,SVR,arousal,retro,0.0343020021222186,0.0688804752076183,0.5243331260320354,0.7241085043224085
1,LSTM,arousal,retro,0.222201003508351,0.281037117168835,0.426770005408776,0.6532763621996253
1,MeanBaseline,valence,sync,-7.954041706128261e-31,,0.0345967555705656,0.1860020310925814
1,Ridge,valence,sync,-0.0280009631022817,-0.0413303142871251,0.042765836046946,0.2067990233220313
1,SVR,valence,sync,-0.0348645405854618,-0.0417752802595538,0.0467865344425691,0.2163019520082265
1,LSTM,valence,sync,-0.0280009631022817,-0.0413303142871251,0.042765836046946,0.2067990233220313
1,MeanBaseline,valence,retro,-7.954041706128261e-31,,0.0345967555705656,0.1860020310925814
1,Ridge,valence,retro,0.0175488653276239,0.0250083691699584,0.0396869682445945,0.1992158835148306
1,SVR,valence,retro,0.0303023776741948,0.0410042458908885,0.044248922741608,0.2103542791140889
1,LSTM,valence,retro,0.0175488653276239,0.0250083691699584,0.0396869682445945,0.1992158835148306
2,MeanBaseline,arousal,sync,-3.4755707387235678e-31,,0.4898699008808104,0.6999070658886153
2,Ridge,arousal,sync,0.1103624120751989,0.2677483883391631,0.5554475958562142,0.7452835674132459
2,SVR,arousal,sync,-0.0512203464379481,-0.0713422691509262,0.645078029675842,0.8031674978955772
2,LSTM,arousal,sync,0.1103624120751989,0.2677483883391631,0.5554475958562142,0.7452835674132459
2,MeanBaseline,arousal,retro,-3.4755707387235678e-31,,0.4898699008808104,0.6999070658886153
2,Ridge,arousal,retro,0.0678526660789407,0.1388108965096163,0.5802652103086157,0.7617514097844622
2,SVR,arousal,retro,-0.0791161820876369,-0.1079332954977015,0.6651328444300674,0.815556769593673
2,LSTM,arousal,retro,0.0678526660789407,0.1388108965096163,0.5802652103086157,0.7617514097844622
2,MeanBaseline,valence,sync,-1.0981431803414314e-30,,0.0180881732399621,0.1344922794808764
2,Ridge,valence,sync,-0.0291758950117126,-0.0359038343613948,0.0233854797080355,0.1529231169837821
2,SVR,valence,sync,0.0040949585236248,0.004341654359937,0.0271615174150044,0.1648075162576164
2,LSTM,valence,sync,-0.0291758950117126,-0.0359038343613948,0.0233854797080355,0.1529231169837821
2,MeanBaseline,valence,retro,-1.0981431803414314e-30,,0.0180881732399621,0.1344922794808764
2,Ridge,valence,retro,0.0430064792391361,0.0488879765263863,0.023418866264906,0.1530322392991294
2,SVR,valence,retro,0.0861153973298744,0.0948200017687142,0.0240973281054536,0.1552331411311826
2,LSTM,valence,retro,0.0430064792391361,0.0488879765263863,0.023418866264906,0.1530322392991294
3,MeanBaseline,arousal,sync,-4.843753648534871e-31,,0.3590646881735472,0.5992200665644861
3,Ridge,arousal,sync,-0.0537040199684286,-0.1087120599127053,0.5518741033673374,0.7428822944231054
3,SVR,arousal,sync,-0.0086716292969872,-0.0101968892481915,0.4709758200256068,0.6862767809168593
3,LSTM,arousal,sync,-0.0537040199684286,-0.1087120599127053,0.5518741033673374,0.7428822944231054
3,MeanBaseline,arousal,retro,-4.843753648534871e-31,,0.3590646881735472,0.5992200665644861
3,Ridge,arousal,retro,-0.026673029529442,-0.0528155440868422,0.5411711708770975,0.7356433720744703
3,SVR,arousal,retro,0.0579848445448821,0.0684482885073514,0.4551291515855492,0.6746326048936185
3,LSTM,arousal,retro,-0.026673029529442,-0.0528155440868422,0.5411711708770975,0.7356433720744703
3,MeanBaseline,valence,sync,-2.6747717096925433e-30,,0.0464451090775939,0.2155112736670496
3,Ridge,valence,sync,0.0625951431351765,0.1004717514465548,0.0489532605463233,0.2212538373595434
3,SVR,valence,sync,0.0718537201665923,0.0981207071029583,0.0551875643749427,0.2349203362311206
3,LSTM,valence,sync,0.0625951431351765,0.1004717514465548,0.0489532605463233,0.2212538373595434
3,MeanBaseline,valence,retro,-2.6747717096925433e-30,,0.0464451090775939,0.2155112736670496
3,Ridge,valence,retro,0.0462758970208623,0.0698187962787753,0.0521565429847477,0.2283780702798493
