model,target,condition,ccc_mean,ccc_std,r_mean,rmse_mean,n_sessions
LSTM,arousal,retro,0.0675419915170937,0.08937251729710367,0.12096592913732394,0.8190170473820336,16
Ridge,arousal,retro,0.0675419915170937,0.08937251729710367,0.12096592913732394,0.8190170473820336,16
SVR,arousal,retro,0.04349026202318691,0.06080779668756911,0.0837869123184253,0.8170220855992645,16
XGBoost,arousal,retro,0.010004479253787026,0.06887019929656464,0.03022538137536014,0.8363663498293179,16
MeanBaseline,arousal,retro,5.702399867114179e-32,2.4995200645655023e-31,,0.7761325564599165,16
LSTM,arousal,sync,0.054312579361789376,0.08264013224749325,0.10031684049456184,0.8252725088068841,16
Ridge,arousal,sync,0.054312579361789376,0.08264013224749325,0.10031684049456184,0.8252725088068841,16
SVR,arousal,sync,0.029316075520985484,0.07143228701328942,0.05419999435789585,0.8201875721899273,16
XGBoost,arousal,sync,0.0009789958343183794,0.06743524466224801,0.0007275723197957135,0.8411220774709736,16
MeanBaseline,arousal,sync,5.702399867114179e-32,2.4995200645655023e-31,,0.7761325564599165,16
SVR,valence,retro,0.01688286782453657,0.07313601010934281,0.04422140767440213,0.28458154955559356,16
XGBoost,valence,retro,0.014870073443899907,0.03532511587734807,0.04059576788090546,0.28085970852610154,16
LSTM,valence,retro,0.014541371752348457,0.030081106854680694,0.03446301790366767,0.2681844631861658,16
Ridge,valence,retro,0.014541371752348457,0.030081106854680694,0.03446301790366767,0.2681844631861658,16
MeanBaseline,valence,retro,1.633096669053588e-30,7.122856529286547e-30,,0.24486782976683955,16
XGBoost,valence,sync,0.01774870221283688,0.06607079486911296,0.03901287810142585,0.283541428802662,16
SVR,valence,sync,0.017572861816095846,0.07125483258640926,0.03909348112980408,0.2826278668573757,16
LSTM,valence,sync,0.005337973643620304,0.042600083159159995,0.007105985148679206,0.26809860483016973,16
Ridge,valence,sync,0.005337973643620304,0.042600083159159995,0.007105985148679206,0.26809860483016973,16
MeanBaseline,valence,sync,1.633096669053588e-30,7.122856529286547e-30,,0.24486782976683955,16
