model,target,condition,ccc_mean,ccc_std,r_mean,rmse_mean,n_sessions
CatBoostOptuna,arousal,retro,0.028685716929818,0.0860367720353292,0.063977333403419,0.8285377851989365,16
RidgeCV,arousal,retro,0.0276871282968987,0.0593588098175847,0.0675779956077408,9.664995903637028,16
CatBoost,arousal,retro,0.0155405425561671,0.0628088155269435,0.0585194482707819,0.8209456047773162,16
Ensemble,arousal,retro,0.0078877552350611,0.0567071202381433,0.0419433050870085,7.988334722974648,16
MeanBaseline,arousal,retro,5.702399867114179e-32,2.4995200645655023e-31,,0.7761325564599165,16
SVR,arousal,retro,-0.0201097154999515,0.0844125087430724,-0.0136057117113612,12.596777499016804,16
RidgeCV,arousal,sync,0.0335481948569843,0.0653673107711896,0.0708687679754319,10.32804660224874,16
CatBoostOptuna,arousal,sync,0.021326729481934,0.0743201265739944,0.0411474600779153,0.8378340910498954,16
CatBoost,arousal,sync,0.0112662086052058,0.0608721439027211,0.0462393265794717,0.8284131741077391,16
Ensemble,arousal,sync,0.0036897267189521,0.0610180325702563,0.0277534887306181,7.527453332866118,16
MeanBaseline,arousal,sync,5.702399867114179e-32,2.4995200645655023e-31,,0.7761325564599165,16
SVR,arousal,sync,-0.0207328759062195,0.0836578118901287,-0.0248832980293415,11.206967358519057,16
CatBoostOptuna,valence,retro,0.0091500694202468,0.0430819824210079,0.0100391276006972,0.2849532779651845,16
CatBoost,valence,retro,0.0089859409674819,0.0317289435802653,0.0349877273053714,0.2732097188531553,16
RidgeCV,valence,retro,0.0069028054367901,0.0351306834821414,0.0360085462556774,1.9509509697982608,16
Ensemble,valence,retro,0.0036363972027466,0.0285887177173617,0.0385102631092581,0.8085699337824,16
MeanBaseline,valence,retro,1.633096669053588e-30,7.122856529286547e-30,,0.2448678297668395,16
SVR,valence,retro,-0.0027833845451335,0.0111335033989676,-0.0062480209526924,0.2433741609747117,16
CatBoostOptuna,valence,sync,0.0196636584496969,0.0731051186496121,0.0297296835311494,0.2836402278551956,16
CatBoost,valence,sync,0.0105772826768457,0.0441202999749146,0.0146314980497895,0.2757207691746096,16
Ensemble,valence,sync,0.0017491890923151,0.0245734077146944,0.0151671103419508,0.7029518576560567,16
RidgeCV,valence,sync,0.0008104785682433,0.0374105608149979,0.0213466459250927,1.643379082799519,16
MeanBaseline,valence,sync,1.633096669053588e-30,7.122856529286547e-30,,0.2448678297668395,16
SVR,valence,sync,-0.0024160528722867,0.00979897476182,0.0100287697961042,0.2425150332459987,16
