held_out_session,model,target,condition,ccc,pearson_r,mse,rmse
1,MeanBaseline,arousal,lag_0,-6.16689507118334e-31,,0.2379881899755431,0.4878403324608812
1,RidgeCV,arousal,lag_0,0.3092165168379628,0.3529964201380287,0.2668355217544161,0.5165612468569589
1,SVR,arousal,lag_0,0.273935906169103,0.2755263464113013,0.3194222314383658,0.5651745141444064
1,CatBoost,arousal,lag_0,0.1699316247496798,0.3418463983928268,0.2060016678186056,0.4538740660344074
1,Ensemble,arousal,lag_0,0.2967017382977381,0.3411107231829923,0.222111612335635,0.4712871866873054
1,MeanBaseline,arousal,lag_1,-7.112265041638808e-31,,0.2335064555022003,0.4832250567822413
1,RidgeCV,arousal,lag_1,0.3460089638718401,0.3498479174020384,0.2916115986319709,0.5400107393672564
1,SVR,arousal,lag_1,0.2938968578409235,0.2945594420792018,0.3164930743348702,0.5625771718927726
1,CatBoost,arousal,lag_1,0.1330727746998149,0.2936573039626965,0.2073499519587082,0.4553569500498572
1,Ensemble,arousal,lag_1,0.3190075174911163,0.345253491336791,0.222666114338954,0.4718751045975555
1,MeanBaseline,arousal,lag_2,8.010917733063175e-31,,0.231701706128074,0.4813540340830998
1,RidgeCV,arousal,lag_2,0.3111810944841775,0.3564672360243314,0.2699985437364909,0.5196138409785588
1,SVR,arousal,lag_2,0.2618295852684665,0.2638115722871849,0.307624811040632,0.554639352228664
1,CatBoost,arousal,lag_2,0.1490974813426639,0.346092107743197,0.1998632901068182,0.4470607230643487
1,Ensemble,arousal,lag_2,0.2947701057823072,0.341657853704626,0.2134983211509959,0.4620587853844962
1,MeanBaseline,arousal,lag_3,-6.018691641636155e-31,,0.2326659821679779,0.482354622832598
1,RidgeCV,arousal,lag_3,0.2908273303977243,0.3360058143475751,0.2855158913062961,0.5343368706221723
1,SVR,arousal,lag_3,0.2392438692466072,0.2398489572283601,0.325410573883425,0.5704476960102696
1,CatBoost,arousal,lag_3,0.1698117286348637,0.3237149632562645,0.2047957002363764,0.4525435893219309
1,Ensemble,arousal,lag_3,0.2768068007828152,0.316219531881133,0.2297738793418447,0.4793473472773629
1,MeanBaseline,arousal,lag_4,-1.2055668775483668e-31,,0.2336959009290876,0.483421038980605
1,RidgeCV,arousal,lag_4,0.2661974461105935,0.3147662419917725,0.3064171184619304,0.5535495627872272
1,SVR,arousal,lag_4,0.1906410949284422,0.1913611167273394,0.3624847672981124,0.6020670787363419
1,CatBoost,arousal,lag_4,0.1215505308380562,0.2496353647169091,0.2119149407088648,0.4603421995742567
1,Ensemble,arousal,lag_4,0.2371840037698411,0.2769073674772431,0.2406987501590983,0.4906105891224713
1,MeanBaseline,valence,lag_0,1.7054907282716797e-30,,0.1075678814483584,0.3279754281167393
1,RidgeCV,valence,lag_0,0.0466544592685166,0.0552466962968884,0.1552446746006568,0.3940110082226851
1,SVR,valence,lag_0,-0.149474834465379,-0.1545016930707756,0.199772301814068,0.4469589486899977
1,CatBoost,valence,lag_0,0.0275494851566603,0.0511550788502804,0.1187215420784065,0.3445599252356642
1,Ensemble,valence,lag_0,-0.0323258828819343,-0.0456687050624815,0.1344071395417251,0.366615792815483
1,MeanBaseline,valence,lag_1,-2.8046606306342625e-30,,0.1052698438893178,0.3244531459075683
1,RidgeCV,valence,lag_1,0.0446744257559627,0.0546588105446791,0.1504289168651749,0.3878516686378633
1,SVR,valence,lag_1,-0.0991186511684346,-0.1017998058979717,0.1911817546154552,0.4372433585721517
1,CatBoost,valence,lag_1,0.0701896576127097,0.109876466602623,0.1175793061517899,0.3428983904187797
1,Ensemble,valence,lag_1,0.005310184402337,0.0077509862569313,0.1263566889011002,0.3554668604822398
1,MeanBaseline,valence,lag_2,1.7529119627125346e-31,,0.1058891345307553,0.3254061070889041
1,RidgeCV,valence,lag_2,0.0186052576422684,0.023127609396761,0.1548642897340629,0.3935280037482249
1,SVR,valence,lag_2,-0.0809340832113877,-0.0832390040183204,0.1855831866658313,0.4307936706427235
1,CatBoost,valence,lag_2,0.0811932990676171,0.1205229228384074,0.1182159216364526,0.3438254231967912
1,Ensemble,valence,lag_2,-0.0067885835185678,-0.0098058002438183,0.1292189375900868,0.3594703570394738
1,MeanBaseline,valence,lag_3,-1.0818288386808628e-30,,0.1035538896430233,0.3217979018623697
1,RidgeCV,valence,lag_3,-0.0289217223859853,-0.0354505569539232,0.160975888471184,0.4012180061652068
1,SVR,valence,lag_3,-0.1114817478555208,-0.1146196928056197,0.1884043298235235,0.4340556759489772
1,CatBoost,valence,lag_3,0.0632983726050398,0.0863546239488856,0.1254150832682763,0.3541399204668634
1,Ensemble,valence,lag_3,-0.0360747053641253,-0.0497897497054266,0.1345477680450172,0.3668075354256196
1,MeanBaseline,valence,lag_4,0.0,,0.1011907896901482,0.3181049979018692
1,RidgeCV,valence,lag_4,0.0055225237275915,0.0068174401713589,0.1527900594350835,0.3908836904183693
1,SVR,valence,lag_4,0.0016134845412478,0.0016450857531969,0.1709717874556005,0.4134873486040419
1,CatBoost,valence,lag_4,0.0729814301294063,0.1028682677295875,0.1225075768553858,0.3500108239117554
1,Ensemble,valence,lag_4,0.0242098185638052,0.0330487117006102,0.1263007742502329,0.355388202182111
2,MeanBaseline,arousal,lag_0,0.0,,2.3054654073189997,1.5183759110704436
2,RidgeCV,arousal,lag_0,0.185551567938816,0.5208448138683304,1.8837376931208287,1.37249323973593
2,SVR,arousal,lag_0,0.2085925338664315,0.4766350036841317,1.7623362651144852,1.32753013717749
2,CatBoost,arousal,lag_0,-0.177076920201815,-0.6777292077126083,2.227341250089796,1.492427971491353
2,Ensemble,arousal,lag_0,0.093158398727139,0.3574258088880436,1.8848111125876523,1.3728842313129146
2,MeanBaseline,arousal,lag_1,2.0238293749811715e-31,,2.3098445689089178,1.5198172814219866
2,RidgeCV,arousal,lag_1,0.1941128940844323,0.5343520216798927,1.8582855451930391,1.3631894751622164
2,SVR,arousal,lag_1,0.2257762125822031,0.509849563860575,1.734160736277053,1.31687536854368
2,CatBoost,arousal,lag_1,-0.196896958330143,-0.71470172656509,2.243738043155017,1.497911226727077
