model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,n_sessions
RidgeCV,arousal,lag_0,0.0239799937401618,0.1992418788244402,-0.0821885092790228,0.1301484967593465,-0.0013640741546911,1.015775239446699,16
Ensemble,arousal,lag_0,0.0084249586529628,0.1968211898589013,-0.0964536502673372,0.1133035675732629,0.0059211719740116,0.9465274020253474,16
CatBoost,arousal,lag_0,0.0061782262134584,0.1599423786161531,-0.0790490513408107,0.0914055037677276,0.0093830537656039,0.9661493359311264,16
SVR,arousal,lag_0,0.0038287619736672,0.2103532647033034,-0.1082605806410267,0.1159181045883612,-0.0024218797180241,1.0818620112678827,16
MeanBaseline,arousal,lag_0,1.159555450305474e-31,4.949121503104379e-31,-1.4776452443719518e-31,3.7967561449829e-31,,0.8897028100929558,16
RidgeCV,arousal,lag_1,0.0267495660838801,0.2103925286496562,-0.0853606988109665,0.1388598309787268,0.0007258141470285,1.0248198784961615,16
Ensemble,arousal,lag_1,0.017665068824846,0.1934863114798101,-0.0854365088440516,0.1207666464937437,0.0118283660781141,0.9497619402436068,16
CatBoost,arousal,lag_1,0.0017535366003042,0.1674278776872323,-0.087462481852299,0.0909695550529075,0.0080747311904675,0.9657005777451014,16
SVR,arousal,lag_1,0.0002514048061777,0.2224697918168884,-0.1182943793610181,0.1187971889733737,-0.0056317219839196,1.0702188735882712,16
MeanBaseline,arousal,lag_1,8.277595735090435e-32,6.443186741284362e-31,-2.605572289407058e-31,4.261091436425146e-31,,0.8896792784430425,16
Ensemble,arousal,lag_2,0.0129110219650977,0.1850698211603137,-0.0857057245871262,0.1115277685173217,0.0106413581054582,0.9537147313520002,16
RidgeCV,arousal,lag_2,0.0118059590406905,0.2065313666138372,-0.0982468378375117,0.1218587559188929,-0.0209521541981057,1.0369240675024374,16
CatBoost,arousal,lag_2,0.0086037091455693,0.1583577575599758,-0.0757791834511816,0.0929866017423203,0.030299112295669,0.9640182549173236,16
MeanBaseline,arousal,lag_2,4.285596354684401e-32,3.0620586824785408e-31,-1.203096261342776e-31,2.0602155322796564e-31,,0.8897058585210136,16
SVR,arousal,lag_2,-0.0102096203595579,0.2156267735134564,-0.1251090174634778,0.1046897767443619,-0.0127916431299029,1.0983789315933894,16
CatBoost,arousal,lag_3,0.0115011189431739,0.1472182208797889,-0.0669459335548955,0.0899481714412435,0.032307140507992,0.9689987130900042,16
Ensemble,arousal,lag_3,0.0085820546667273,0.1837836588814732,-0.0893493443843091,0.1065134537177637,0.0013768769906819,0.9561663089312928,16
RidgeCV,arousal,lag_3,0.0059138383792265,0.2038965277430205,-0.1027349519705197,0.1145626287289727,-0.0299533216801481,1.0439077428230183,16
MeanBaseline,arousal,lag_3,-1.4426073522540468e-31,3.450903625344931e-31,-3.281464093256665e-31,3.9624938874857167e-32,,0.8896454944139793,16
