model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,n_sessions
MeanBaseline,arousal,circ_shift,5.702399867114179e-32,2.4995200645655023e-31,-7.616602397222194e-32,1.9021402131450552e-31,,0.7761325564599165,16
RidgeCV,arousal,circ_shift,-0.007701267350003801,0.06478208055972781,-0.042221201392358625,0.02681866669235102,-0.02690304947157606,0.8685438097887468,16
Ensemble,arousal,circ_shift,-0.009049504959790186,0.05318237862646123,-0.037388394148573846,0.019289384228993477,-0.03884327106558982,0.8288325505744054,16
SVR,arousal,circ_shift,-0.010132332629989797,0.051743176880413924,-0.03770432534187828,0.017439660081898685,0.008973569981835282,0.8669160102827861,16
CatBoost,arousal,circ_shift,-0.01723104476744911,0.04457911841379103,-0.04098558018857665,0.006523490653678427,-0.06521398117346805,0.7977866348666123,16
XGBoost,arousal,circ_shift,-0.0245298951524563,0.05719617150520483,-0.055007583593081784,0.005947793288169183,-0.05679962451412708,0.81161023629719,16
RidgeCV,arousal,lag_0,0.016254933110220422,0.03654714254709928,-0.003219664483156217,0.035729530703597065,0.033744476189318216,0.8736102145350231,16
Ensemble,arousal,lag_0,0.011084492515816498,0.031380705217504815,-0.005637104952978929,0.027806089984611926,0.035440455273238775,0.8279431614122187,16
CatBoost,arousal,lag_0,0.008980997803129446,0.05034463960860524,-0.017845767000647935,0.03580776260690682,0.02635749260936973,0.7887596122131301,16
MeanBaseline,arousal,lag_0,5.702399867114179e-32,2.4995200645655023e-31,-7.616602397222194e-32,1.9021402131450552e-31,,0.7761325564599165,16
XGBoost,arousal,lag_0,-0.0007193644197431206,0.04665373920355498,-0.025579387225758227,0.02414065838627199,-0.002521906216960447,0.8049606219052674,16
SVR,arousal,lag_0,-0.002682959579907554,0.03767768382233639,-0.02275998009511924,0.017394060935304132,0.028398276140529678,0.8915469350253933,16
Ensemble,arousal,lag_1,0.011758767118092893,0.028774480295790446,-0.0035740711194491674,0.027091605355634953,0.04175562768003047,0.8473211036695028,16
