held_out_session,model,target,condition,ccc,pearson_r,mse,rmse,pred_dispersion
1,MeanBaseline,arousal,lag_0,-6.16689507118334e-31,,0.2379881899755431,0.4878403324608812,1.8503925568498134e-15
1,RidgeCV,arousal,lag_0,0.3092165168379628,0.3529964201380287,0.2668355217544161,0.5165612468569589,0.7343302138656422
1,SVR,arousal,lag_0,0.27057477919130507,0.2720498258259377,0.32200298640936414,0.5674530697858319,0.9528297332730669
1,XGBoost,arousal,lag_0,0.0351107671132921,0.043175575860476906,0.2811668407859647,0.5302516768346562,0.5142640157929061
1,CatBoost,arousal,lag_0,0.16993162474967988,0.3418463983928268,0.20600166781860563,0.45387406603440744,0.26773021456258544
1,Ensemble,arousal,lag_0,0.2958382940325128,0.3401498867564552,0.2225119909449978,0.4717117668078652,0.5964339982533186
1,MeanBaseline,valence,lag_0,1.70549072827168e-30,,0.10756788144835848,0.32797542811673935,1.3545722678323365e-15
1,RidgeCV,valence,lag_0,0.046654459268516614,0.05524669629688846,0.15524467460065686,0.39401100822268514,0.6397158947658588
1,SVR,valence,lag_0,-0.14617742454404795,-0.15166384630581814,0.19686596143033377,0.4436957983014193,0.7701067751215215
1,XGBoost,valence,lag_0,0.04228479215316663,0.05283274659477863,0.13588668980802296,0.368628118580261,0.5282694173851388
1,CatBoost,valence,lag_0,0.027549485156660353,0.05115507885028041,0.11872154207840652,0.3445599252356642,0.30585858103183555
1,Ensemble,valence,lag_0,-0.03737762543016418,-0.05377221636249157,0.1336349011384132,0.36556107716551717,0.4165534274602526
2,MeanBaseline,arousal,lag_0,0.0,,2.3054654073189997,1.5183759110704436,3.5788297853795164e-16
2,RidgeCV,arousal,lag_0,0.18555156793881605,0.5208448138683304,1.8837376931208287,1.37249323973593,0.2675622067639359
2,SVR,arousal,lag_0,0.20306826396225494,0.46998344225173155,1.7727174080113308,1.3314343423583945,0.3120969569234784
2,XGBoost,arousal,lag_0,-0.03907834898465162,-0.20723415386086652,2.242647247820264,1.4975470769963342,0.13215974594961177
2,CatBoost,arousal,lag_0,-0.17707692020181506,-0.6777292077126083,2.227341250089796,1.4924279714913533,0.16054593793722582
2,Ensemble,arousal,lag_0,0.0895001677417465,0.34604401782346805,1.8911560468099253,1.3751930943725412,0.17444223703397563
2,MeanBaseline,valence,lag_0,0.0,,0.6487860793439154,0.8054725813731436,0.0
2,RidgeCV,valence,lag_0,-0.0011831196020252476,-0.005044617067733677,0.666533188874539,0.816414838715306,0.17893547318172015
2,SVR,valence,lag_0,-0.043150299564887015,-0.2056494344532298,0.7081521729079813,0.8415177793178117,0.1632389306391084
2,XGBoost,valence,lag_0,-0.041300088621716934,-0.15425489476159424,0.6484482741993816,0.8052628603129425,0.19107294776263378
2,CatBoost,valence,lag_0,-0.026098904704799402,-0.12429083169165539,0.664701417674987,0.8152922283911377,0.15588642922072954
2,Ensemble,valence,lag_0,-0.024706362244525687,-0.14321759773182666,0.6757958175308095,0.8220680127159854,0.13038157633928862
3,MeanBaseline,arousal,lag_0,5.993500523936785e-31,,0.25681832920973996,0.5067724629552596,9.98773764852413e-16
3,RidgeCV,arousal,lag_0,0.18065530348419445,0.35098578309940726,0.3108194951527994,0.5575118789342514,0.4938176497084569
3,SVR,arousal,lag_0,0.2780833560608885,0.316095727715225,0.25422369814706364,0.5042060076467392,0.7835183310509538
3,XGBoost,arousal,lag_0,0.24465241571720328,0.34129244294242206,0.35106584526690104,0.5925080972163174,0.8426134467817692
3,CatBoost,arousal,lag_0,0.21351235684330255,0.3173368233255967,0.3497554560584741,0.5914012648434852,0.756726517873252
3,Ensemble,arousal,lag_0,0.23524652812811217,0.34872591187695756,0.2838095962742169,0.5327378307143363,0.6331526615634832
3,MeanBaseline,valence,lag_0,0.0,,0.8722597812307933,0.9339484896025012,0.0
3,RidgeCV,valence,lag_0,-0.04618514159226786,-0.1637544970460726,0.9508113566849954,0.9750955628475577,0.15025089753247317
3,SVR,valence,lag_0,-0.006695165529503927,-0.04605595142889193,0.8781880077570102,0.9371168591787313,0.07433396485483573
3,XGBoost,valence,lag_0,-0.023377110884165078,-0.12639456820277045,0.9772704218869211,0.9885698872041982,0.10352940068935422
3,CatBoost,valence,lag_0,-0.030299144890387982,-0.1268390254478624,0.9633061774638958,0.9814816235996963,0.13091840321847914
3,Ensemble,valence,lag_0,-0.02872502974627737,-0.14301356653798375,0.9258912671645363,0.962232439260149,0.10596590443068617
4,MeanBaseline,arousal,lag_0,6.550466468263295e-31,,0.2007136715741303,0.44801079403752125,1.1259716555514165e-15
4,RidgeCV,arousal,lag_0,-0.04826242102595489,-0.04986659500025875,0.2622757546516892,0.5121286504890047,0.77834474137238
4,SVR,arousal,lag_0,0.0448928023303769,0.04493874952942273,0.28891303707466826,0.5375063135207514,0.9713041233231845
4,XGBoost,arousal,lag_0,0.1556594842318051,0.21808712163100746,0.2663558439772996,0.5160967389717742,0.7237267832286586
4,CatBoost,arousal,lag_0,0.13259791210704444,0.19104574754251746,0.2142056100045603,0.4628235192863045,0.5509271384926583
4,Ensemble,arousal,lag_0,0.04940779553856363,0.05397552975573025,0.2262608513995349,0.4756688463621881,0.7003227106612827
4,MeanBaseline,valence,lag_0,-5.982123238939622e-31,,0.08791314540697454,0.29650150995732644,3.054234606771831e-15
4,RidgeCV,valence,lag_0,-0.08781905863562181,-0.15162399063742898,0.15240246800771487,0.3903875869027022,0.4797671955929326
4,SVR,valence,lag_0,-0.1100401028927215,-0.2225080313717514,0.11040474090489642,0.3322720886636379,0.29082297214472186
4,XGBoost,valence,lag_0,0.008478932333024995,0.011423835384113434,0.10292812048422467,0.32082412702947494,0.45554961837573715
4,CatBoost,valence,lag_0,-0.12189247848093132,-0.24007272788419776,0.11638156587656533,0.3411474254286046,0.3114163416302467
4,Ensemble,valence,lag_0,-0.10951522394243604,-0.22320899932399363,0.12085596164741189,0.3476434403917495,0.3159890010764578
5,MeanBaseline,arousal,lag_0,-5.401218878582617e-31,,0.29210477225763687,0.5404671796303979,8.556409818167196e-16
5,RidgeCV,arousal,lag_0,-0.23055635323444898,-0.3011254130618297,0.5806341668200727,0.7619935477548827,0.6705690166321306
5,SVR,arousal,lag_0,-0.20084998947931937,-0.2319160881129969,0.5343214148392328,0.7309729234651806,0.7152658248722729
5,XGBoost,arousal,lag_0,-0.04286141204437879,-0.06986953234016985,0.4380455158494866,0.66185007052163,0.47828195515267513
5,CatBoost,arousal,lag_0,0.06221706804379985,0.11542511845525256,0.31935620571205897,0.5651160993212447,0.34071791138524327
5,Ensemble,arousal,lag_0,-0.14685213102359043,-0.21329815818377612,0.44371558703248504,0.6661197993097676,0.49442807558424584
5,MeanBaseline,valence,lag_0,2.236488225256278e-30,,0.16460408105254157,0.4057142849993596,2.3259355034637996e-15
