held_out_session,model,target,condition,ccc,pearson_r,mse,rmse,pred_dispersion
1,MeanBaseline,arousal,lag_0,-2.236691755915846e-31,,0.41010573760281976,0.6403949856165488,6.940499654983112e-16
1,RidgeCV,arousal,lag_0,-0.008148945191098472,-0.015522122435960859,0.44853363940627167,0.6697265407659097,0.28525393760009465
1,SVR,arousal,lag_0,-0.058306542043278044,-0.07044950688928334,0.5565246117179135,0.7460057719065674,0.5315244645091953
1,XGBoost,arousal,lag_0,0.07146510752254168,0.11411853282292059,0.4310387095036053,0.6565353832837993,0.3550315540848061
1,CatBoost,arousal,lag_0,-0.009727947557303895,-0.017577593429727763,0.4584970864321725,0.6771241292644743,0.30690576397007935
1,CatBoostOptuna,arousal,lag_0,-0.27825988530815293,-0.31225103758164063,0.7588746201160427,0.8711340999616779,0.6461132035685663
1,Ensemble,arousal,lag_0,-0.0386335637733714,-0.07465704618185226,0.4611694915621769,0.6790946116427201,0.28061004983707744
1,MeanBaseline,valence,lag_0,0.0,,0.3285175534744721,0.5731645082124958,0.0
1,RidgeCV,valence,lag_0,0.09385228742337809,0.16259321430835297,0.32642315455754467,0.5713345382151728,0.31775117232528327
1,SVR,valence,lag_0,0.05165466718128511,0.12880954650829124,0.3404962863631626,0.5835205963487172,0.22002404371937043
1,XGBoost,valence,lag_0,-0.0008960641569592645,-0.0014225871887891678,0.3759868857801707,0.6131776951098031,0.36158190239339094
1,CatBoost,valence,lag_0,0.030466396650129943,0.05821260368289865,0.34258227434918065,0.5853052830354264,0.282597845836455
1,CatBoostOptuna,valence,lag_0,0.1274735618536348,0.15515591523185834,0.3656712321248719,0.6047075591762285,0.5261707970219767
1,Ensemble,valence,lag_0,0.061038948682326205,0.14816863369815958,0.32326003033659156,0.568559610187526,0.21672946427389525
2,MeanBaseline,arousal,lag_0,0.0,,1.3988636273425867,1.1827356540421814,7.575043981220843e-16
2,RidgeCV,arousal,lag_0,0.026726452420609486,0.12286485659483168,1.3573693701232707,1.165061959778651,0.11033585146044839
2,SVR,arousal,lag_0,0.07577553510763978,0.26579432432629324,1.3008683352526145,1.1405561517315201,0.1459415919544986
2,XGBoost,arousal,lag_0,0.09529312872504665,0.42375642230041194,1.2734171229303646,1.1284578516410635,0.11511925691476878
2,CatBoost,arousal,lag_0,-0.010022314725576178,-0.04827514041047517,1.432383039207292,1.1968220582890725,0.10708103990379385
2,CatBoostOptuna,arousal,lag_0,-0.005793812964147432,-0.1834974649469855,1.3869029822370724,1.1776684517456824,0.015834757356470875
2,Ensemble,arousal,lag_0,0.032378122083747296,0.18106839134095298,1.3504209215232006,1.1620761255284442,0.09076373929962522
2,MeanBaseline,valence,lag_0,0.0,,1.8520347980363219,1.3608948519398263,0.0
2,RidgeCV,valence,lag_0,-0.009219992019684806,-0.053815951385351765,1.8781765369860073,1.3704658102214762,0.08791335444317114
2,SVR,valence,lag_0,-0.002351458039957781,-0.14228103271025264,1.8362186769716122,1.355071465632574,0.008347940819323336
2,XGBoost,valence,lag_0,-0.04257093882229793,-0.18812230245332331,2.0115243733472177,1.4182821910139103,0.12038638939257379
2,CatBoost,valence,lag_0,-0.045813463744107524,-0.2633198570387866,1.9716406268358577,1.4041512122402835,0.09044151112205881
2,CatBoostOptuna,valence,lag_0,-0.05676356019258725,-0.19999522058462443,1.9888129744493948,1.4102528051556553,0.14728241180345564
