model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,pred_disp_mean,n_sessions
RidgeCV,arousal,M1_own_label_ar,0.4488286657011976,0.08157683062608452,0.4053594410596632,0.492297890342732,0.5173329519751817,0.5925528704373881,0.5950951810979079,16
CatBoost,arousal,M1_own_label_ar,0.44285399980861223,0.07307484303109539,0.40391516456600046,0.481792835051224,0.5145331074743972,0.5943208640282995,0.588816837085217,16
MeanBaseline,arousal,M1_own_label_ar,1.0665088520598003e-31,2.742710559487071e-31,-3.949784418450682e-32,2.527996145964669e-31,,0.7770702592497545,5.689500696677602e-16,16
CatBoost,arousal,M2_own_signal,0.41194266298896476,0.08180068297907916,0.36835415584841463,0.4555311701295149,0.5105223355475542,0.6001762149148273,0.534492840621194,16
RidgeCV,arousal,M2_own_signal,0.38554339489206596,0.11377970111741328,0.3249144718319194,0.4461723179522125,0.4843294468188873,0.6206396840553156,0.5409087803811796,16
MeanBaseline,arousal,M2_own_signal,1.0665088520598003e-31,2.742710559487071e-31,-3.949784418450682e-32,2.527996145964669e-31,,0.7770702592497545,5.689500696677602e-16,16
RidgeCV,arousal,M3_label_coupling,0.4422423594826974,0.07792676473208916,0.40071811766391746,0.48376660130147736,0.5138224511671299,0.5924244345323456,0.5825185910413868,16
CatBoost,arousal,M3_label_coupling,0.4381276356813125,0.06947714602499964,0.4011058778508765,0.47514939351174856,0.5137436030394451,0.5938954230651936,0.5770678787403317,16
MeanBaseline,arousal,M3_label_coupling,1.0665088520598003e-31,2.742710559487071e-31,-3.949784418450682e-32,2.527996145964669e-31,,0.7770702592497545,5.689500696677602e-16,16
CatBoost,arousal,M4_full,0.40732378308133244,0.08094208457528378,0.3641927907351792,0.4504547754274857,0.5119093294509003,0.6003582603474613,0.5229584156812964,16
RidgeCV,arousal,M4_full,0.35418979635235626,0.1043249088518639,0.29859897646165046,0.40978061624306206,0.46666959996963264,0.6453084122861728,0.5262274732873495,16
MeanBaseline,arousal,M4_full,1.0665088520598003e-31,2.742710559487071e-31,-3.949784418450682e-32,2.527996145964669e-31,,0.7770702592497545,5.689500696677602e-16,16
CatBoost,valence,M1_own_label_ar,0.2678465581711399,0.24905387768784784,0.13513511456675226,0.40055800177552753,0.35456619219560537,0.19785593448803684,0.5564322781458022,16
RidgeCV,valence,M1_own_label_ar,0.2646238012094789,0.24969409562821882,0.13157120954557563,0.3976763928733822,0.35304860915586433,0.19732874406846787,0.5432777907558906,16
MeanBaseline,valence,M1_own_label_ar,4.897754014253915e-31,2.2996268221884595e-30,-7.3560923485201405e-31,1.7151600377027972e-30,,0.2422244532543447,2.5466054756823333e-15,16
RidgeCV,valence,M2_own_signal,0.25045848180990526,0.23166859582409546,0.12701100098749657,0.37390596263231396,0.35387971627526876,0.2196216739387972,0.5350370651065415,16
CatBoost,valence,M2_own_signal,0.24210456997455543,0.23468852200107126,0.11704788408276229,0.36716125586634857,0.34987686661937545,0.20163592050152587,0.5056090175197892,16
MeanBaseline,valence,M2_own_signal,4.897754014253915e-31,2.2996268221884595e-30,-7.3560923485201405e-31,1.7151600377027972e-30,,0.2422244532543447,2.5466054756823333e-15,16
RidgeCV,valence,M3_label_coupling,0.2657815917058548,0.24973124278670736,0.13270920571843173,0.3988539776932779,0.35472027472251044,0.197204985325658,0.5432622286205652,16
CatBoost,valence,M3_label_coupling,0.2589277777867266,0.23911316020179302,0.13151336862438526,0.38634218694906797,0.3446834269777887,0.20166951968866206,0.5508446392182668,16
MeanBaseline,valence,M3_label_coupling,4.897754014253915e-31,2.2996268221884595e-30,-7.3560923485201405e-31,1.7151600377027972e-30,,0.2422244532543447,2.5466054756823333e-15,16
CatBoost,valence,M4_full,0.2355484346370093,0.2226519336427243,0.116905593941837,0.35419127533218164,0.35482344790778036,0.2051831456358713,0.5039186357434718,16
RidgeCV,valence,M4_full,0.23502410427756287,0.2208566075734078,0.11733792531603443,0.3527102832390913,0.3470738390521775,0.22907748035334943,0.5010467601400072,16
MeanBaseline,valence,M4_full,4.897754014253915e-31,2.2996268221884595e-30,-7.3560923485201405e-31,1.7151600377027972e-30,,0.2422244532543447,2.5466054756823333e-15,16
