model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,pred_disp_mean,n_sessions
RidgeCV,arousal,lag_0,0.0239799937401618,0.1992418788244402,-0.0821885092790228,0.1301484967593465,-0.0013640741546911,1.015775239446699,0.5265834467910588,16
Ensemble,arousal,lag_0,0.0093063946153409,0.1954484351757291,-0.0948407249685562,0.1134535141992381,0.0071610576451878,0.9442240287784244,0.4397559519530212,16
CatBoost,arousal,lag_0,0.0061782262134584,0.1599423786161531,-0.0790490513408107,0.0914055037677276,0.0093830537656039,0.9661493359311264,0.3715530593169825,16
SVR,arousal,lag_0,0.0044569870279827,0.208909394601394,-0.1068629715185709,0.1157769455745364,-0.0024192970645289,1.0684502159752982,0.7334141814897659,16
MeanBaseline,arousal,lag_0,1.159555450305474e-31,4.949121503104379e-31,-1.4776452443719518e-31,3.7967561449829e-31,,0.8897028100929558,7.605852161978555e-16,16
CatBoostOptuna,arousal,lag_0,-0.0431738390779551,0.1212133823899241,-0.1077638912806331,0.0214162131247229,-0.0959947017115756,0.9818751980470596,0.2930274406077949,16
MeanBaseline,valence,lag_0,4.382214333004357e-31,1.144222760908354e-30,-1.714918376387505e-31,1.0479347042396218e-30,,0.7113733932475386,1.0142696010701564e-15,16
RidgeCV,valence,lag_0,-0.0287281039555574,0.0786137568718145,-0.0706184180453425,0.0131622101342275,-0.0775949503199574,0.8239604965878723,0.420241929539733,16
Ensemble,valence,lag_0,-0.0330638351988006,0.0679845579797845,-0.0692902490015664,0.0031625786039652,-0.0965783595808747,0.7989071870308777,0.2688643291374861,16
CatBoostOptuna,valence,lag_0,-0.0331350474292011,0.1033777588685153,-0.0882211667195107,0.0219510718611083,-0.0808468040648422,0.799537797767869,0.2925866366758878,16
CatBoost,valence,lag_0,-0.0369812260922893,0.0916201726467548,-0.0858021699302874,0.0118397177457087,-0.0683025116801893,0.8255930502379786,0.3205649205411415,16
SVR,valence,lag_0,-0.0447103519062082,0.0656374205423984,-0.0796860644529036,-0.0097346393595129,-0.0981205687289692,0.7976139426889575,0.2648835113174302,16
