model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,pred_disp_mean,n_sessions
MeanBaseline,arousal,circ_shift,5.702399867114179e-32,2.4995200645655023e-31,-7.616602397222194e-32,1.9021402131450552e-31,,0.7761325564599165,6.587482990504111e-16,16
RidgeCV,arousal,circ_shift,-0.007701267350003801,0.06478208055972781,-0.042221201392358625,0.02681866669235102,-0.02690304947157606,0.8685438097887468,0.30327918547312516,16
Ensemble,arousal,circ_shift,-0.009493887793299079,0.053823681379337227,-0.03817450309737861,0.019186727510780453,-0.03991431533216676,0.8284564887227621,0.20654210846739768,16
SVR,arousal,circ_shift,-0.009691714870679675,0.053555632798871454,-0.03822949716850381,0.01884606742714446,-0.0007424814511766695,0.8670920479517717,0.2499777538023464,16
CatBoost,arousal,circ_shift,-0.01723104476744911,0.04457911841379103,-0.04098558018857665,0.006523490653678427,-0.06521398117346805,0.7977866348666123,0.19958254147166335,16
CatBoostOptuna,arousal,circ_shift,-0.01926651305983129,0.048509643945731595,-0.04511547769567484,0.006582451576012251,-0.059020095605175155,0.8283155533306561,0.2765757574921958,16
XGBoost,arousal,circ_shift,-0.0245298951524563,0.05719617150520483,-0.055007583593081784,0.005947793288169183,-0.05679962451412708,0.81161023629719,0.2488819849612401,16
Ensemble,arousal,label_ar_combined,0.4782485574910349,0.08000275707600576,0.43561809743774854,0.5208790175443212,0.5123667477018747,0.6017681977540348,0.6964534968575453,16
SVR,arousal,label_ar_combined,0.477810811723914,0.08842626090067796,0.43069178332084895,0.5249298401269791,0.4778563775428826,0.6964904589909154,0.995167837657602,16
CatBoostOptuna,arousal,label_ar_combined,0.45789558953511655,0.07286494941416476,0.4190685987061104,0.4967225803641227,0.48351234257417813,0.6340668133138115,0.7629302486168117,16
RidgeCV,arousal,label_ar_combined,0.4422423594826974,0.07792676473208916,0.40071811766391746,0.48376660130147736,0.5138224511671299,0.5924244345323456,0.5825185910413868,16
XGBoost,arousal,label_ar_combined,0.4385805416411102,0.06608702827297243,0.4033652500461619,0.4737958332360585,0.5103555399327159,0.5963200505015532,0.586585560374463,16
CatBoost,arousal,label_ar_combined,0.4381276356813125,0.06947714602499964,0.4011058778508765,0.47514939351174856,0.5137436030394451,0.5938954230651936,0.5770678787403317,16
MeanBaseline,arousal,label_ar_combined,1.0665088520598003e-31,2.742710559487071e-31,-3.949784418450682e-32,2.527996145964669e-31,,0.7770702592497545,5.689500696677602e-16,16
Ensemble,arousal,label_ar_own,0.48100856337714015,0.08137815856436853,0.4376452036045207,0.5243719231497597,0.5135859974357256,0.6026415454356686,0.7045978564254269,16
SVR,arousal,label_ar_own,0.47781081172369544,0.08842626090064327,0.4306917833206489,0.524929840126742,0.47785637754265997,0.6964904589911827,0.9951678376578745,16
RidgeCV,arousal,label_ar_own,0.4488286657011976,0.08157683062608452,0.4053594410596632,0.492297890342732,0.5173329519751817,0.5925528704373881,0.5950951810979079,16
CatBoostOptuna,arousal,label_ar_own,0.44775430080843776,0.08353475883577222,0.4032417698687092,0.4922668317481663,0.49046195742926446,0.6280783697930107,0.7107544278308973,16
XGBoost,arousal,label_ar_own,0.44301176161464306,0.0734836749874273,0.40385507520014785,0.4821684480291383,0.5122546478687819,0.5955827610509951,0.5944543945620078,16
CatBoost,arousal,label_ar_own,0.44285399980861223,0.07307484303109539,0.40391516456600046,0.481792835051224,0.5145331074743972,0.5943208640282995,0.588816837085217,16
MeanBaseline,arousal,label_ar_own,1.0665088520598003e-31,2.742710559487071e-31,-3.949784418450682e-32,2.527996145964669e-31,,0.7770702592497545,5.689500696677602e-16,16
MeanBaseline,arousal,label_ar_partner,1.0665088520598003e-31,2.742710559487071e-31,-3.949784418450682e-32,2.527996145964669e-31,,0.7770702592497545,5.689500696677602e-16,16
SVR,arousal,label_ar_partner,-7.106006469539683e-14,3.5112676633246494e-13,-2.581623113286586e-13,1.1604218193786492e-13,-0.025351359507491435,0.8116650894102055,1.5536647946089138e-12,16
Ensemble,arousal,label_ar_partner,-0.026673146549118943,0.026754599483905253,-0.04092966627701683,-0.012416626821221056,-0.1307980191099599,0.7743031044483295,0.09218665083858574,16
RidgeCV,arousal,label_ar_partner,-0.03285513510927113,0.035071360724196546,-0.05154334407870508,-0.014166926139837173,-0.13278489943993624,0.773971127855934,0.11889659541399084,16
XGBoost,arousal,label_ar_partner,-0.045165391500122734,0.04903004992101751,-0.07129166090584865,-0.019039122094396812,-0.12364019047392838,0.7821987707048971,0.20416684393199813,16
CatBoost,arousal,label_ar_partner,-0.045385596165678284,0.04672450391357842,-0.07028332682394867,-0.0204878655074079,-0.1341565425700045,0.7795125691822493,0.18203733880872972,16
CatBoostOptuna,arousal,label_ar_partner,-0.049537426430302595,0.05762630803475711,-0.08024431844853874,-0.018830534412066443,-0.11660128752606674,0.8055088407163922,0.24439991623022933,16
RidgeCV,arousal,lag_0,0.016254933110220422,0.03654714254709928,-0.003219664483156217,0.035729530703597065,0.033744476189318216,0.8736102145350231,0.40290779053305215,16
CatBoostOptuna,arousal,lag_0,0.011769993660244425,0.07358511646582677,-0.02744074710250966,0.05098073442299851,0.010107564156949593,0.80672718154042,0.31084242143305296,16
