model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,pred_disp_mean,n_sessions
SVR,arousal,lag_0,0.043417655019799724,0.17706547921417773,-0.05093387878152599,0.13776918882112543,0.07219287968337684,1.1492411764419292,0.47171886872258434,16
Ensemble,arousal,lag_0,0.005136095247822971,0.11905012366133204,-0.058301237746358876,0.06857342824200482,0.012439489733551804,1.0931222492980615,0.28035513781933963,16
MeanBaseline,arousal,lag_0,-1.9984076592142047e-32,2.0881030635234e-31,-1.3125123473784155e-31,9.128308155355746e-32,,0.9656576605313425,4.65986177866282e-16,16
RidgeCV,arousal,lag_0,-0.0022191327806751204,0.1489224121196231,-0.08157428468966733,0.0771360191283171,-0.014168629080003473,1.1483486115681476,0.36333077302026645,16
XGBoost,arousal,lag_0,-0.023774369163626526,0.11566610426994665,-0.08540848550932528,0.03785974718207224,-0.03642600328115265,1.0758894835832686,0.2982203630259267,16
CatBoost,arousal,lag_0,-0.026114560580867103,0.05464014595051574,-0.05523023914474756,0.0030011179830133593,-0.08786809661155637,1.107517661920879,0.21507720748603765,16
CatBoostOptuna,arousal,lag_0,-0.027444744815171406,0.07463436768514166,-0.06721459208657206,0.012325102456229243,-0.10220514139551518,1.0520828101107071,0.16631970247297356,16
XGBoost,valence,lag_0,0.03838726231322592,0.107940048929122,-0.01912992974618112,0.09590445437263297,0.07189707514418897,0.8429299865876251,0.32933910502030284,16
CatBoost,valence,lag_0,0.02229936311972941,0.095361810371662,-0.028515358725368915,0.07311408496482774,0.04574972977465022,0.819570434674595,0.23820907307836897,16
RidgeCV,valence,lag_0,0.021292327142782154,0.06360964340218242,-0.012602859237910921,0.05518751352347523,0.07147521725069318,1.0141174215018327,0.5078442109881285,16
CatBoostOptuna,valence,lag_0,0.02103996911100581,0.1091655350990251,-0.03713023843338353,0.07921017665539515,0.02591405545459992,0.8567639632557293,0.32589307257422906,16
Ensemble,valence,lag_0,0.015133472189806265,0.05419915847020671,-0.01374722073294869,0.04401416511256122,0.051552384929563745,0.8496592073060574,0.2308771556221542,16
SVR,valence,lag_0,0.0012811078852583138,0.017419988826040976,-0.008001348931470066,0.010563564701986695,0.014348521343162498,0.7967579334308601,0.05734838051769409,16
MeanBaseline,valence,lag_0,-4.5291871659008384e-32,4.6391996280296305e-31,-2.924973701320768e-31,2.0191362681406e-31,,0.7992731633060975,5.607846554943351e-16,16
