held_out_session,model,target,condition,ccc,pearson_r,mse,rmse,pred_dispersion
1,MeanBaseline,arousal,sync_aug_lag_0,2.3837204879898657e-31,,0.4617723228734089,0.6795383159715197,1.3441112808767972e-15
1,RidgeCV,arousal,sync_aug_lag_0,0.05162264322663671,0.08407557810613953,0.4683006872821343,0.6843249865978404,0.34717945524005467
1,CatBoost,arousal,sync_aug_lag_0,0.06534670588135745,0.19584915497826821,0.4309365136263718,0.6564575489903149,0.17615897448949494
1,MeanBaseline,arousal,sync_circ,2.3837204879898657e-31,,0.4617723228734089,0.6795383159715197,1.3441112808767972e-15
1,RidgeCV,arousal,sync_circ,0.13131038949866877,0.23502382238476144,0.4146912632519123,0.643965265563223,0.3054129764127024
1,CatBoost,arousal,sync_circ,0.01133007618903147,0.04628736968235374,0.4385213220169321,0.6622094245908405,0.12432250228874993
1,MeanBaseline,arousal,sync_lag_0,2.3837204879898657e-31,,0.4617723228734089,0.6795383159715197,1.3441112808767972e-15
1,RidgeCV,arousal,sync_lag_0,0.039788667875321364,0.07168708238659582,0.4718813064950321,0.6869361735234447,0.31233773954953586
1,CatBoost,arousal,sync_lag_0,0.0061685919395229214,0.03468048116681158,0.43767737792229905,0.6615718992840454,0.08969791184736273
1,MeanBaseline,arousal,sync_lag_1,0.0,,0.4563000425111996,0.675499846418339,0.0
1,RidgeCV,arousal,sync_lag_1,0.03520968548510129,0.06329010315867979,0.45689151814174306,0.6759375105301844,0.30691375384191305
1,CatBoost,arousal,sync_lag_1,0.0017411914113506812,0.009184943858429356,0.43237531108945176,0.6575525158414739,0.09565277957344231
1,MeanBaseline,arousal,sync_rnd,2.4033622873193943e-31,,0.4670497791920097,0.6834104031927006,6.843767441422247e-16
1,RidgeCV,arousal,sync_rnd,0.08979688695320857,0.12125474172548259,0.506518530437855,0.7117011524775374,0.48937256721118527
1,CatBoost,arousal,sync_rnd,-0.04454788636415835,-0.13167297291854269,0.46942281215911813,0.6851443732229858,0.18054536636901453
1,MeanBaseline,valence,sync_aug_lag_0,-7.954041706128261e-31,,0.03459675557056562,0.1860020310925814,2.3881458746251975e-15
1,RidgeCV,valence,sync_aug_lag_0,0.05079924248932965,0.07253701458263573,0.03945240859325998,0.19862630388057867,0.4208857960291907
1,CatBoost,valence,sync_aug_lag_0,-0.006117454444136672,-0.014737351145937657,0.03825650384779391,0.19559269886116382,0.22822287500242064
1,MeanBaseline,valence,sync_circ,-7.954041706128261e-31,,0.03459675557056562,0.1860020310925814,2.3881458746251975e-15
1,RidgeCV,valence,sync_circ,0.012804629137708428,0.03122157179596413,0.03848763422053026,0.1961826552489548,0.23119668999075688
1,CatBoost,valence,sync_circ,0.018426651042330613,0.05548159808938678,0.03723343154312639,0.19295966299495443,0.1821625174816387
