model,target,cond_a,cond_b,median_delta,wilcoxon_p,signflip_p,n_sessions,comparison,family,wilcoxon_p_fdr
CatBoost,arousal,lag_400ms_av,lag_0,-0.0030418876149725187,0.92047119140625,0.9584041595840416,16,lag_400ms_av vs lag_0,lag,0.9907166438601329
CatBoost,arousal,lag_1,lag_0,0.0020146131371677886,0.4499664306640625,0.5736426357364264,16,lag_1 vs lag_0,lag,0.9907166438601329
CatBoost,arousal,lag_2,lag_0,-0.005809879741400818,0.8843994140625,0.9094090590940906,16,lag_2 vs lag_0,lag,0.9907166438601329
CatBoost,arousal,lag_3,lag_0,-0.004579056704510332,0.903594970703125,0.9641035896410359,16,lag_3 vs lag_0,lag,0.9907166438601329
CatBoost,arousal,lag_4,lag_0,-0.00988198085126989,0.8738861083984375,0.8748125187481252,16,lag_4 vs lag_0,lag,0.9907166438601329
CatBoost,valence,lag_400ms_av,lag_0,-0.00871152022566218,0.9907166438601329,0.985001499850015,16,lag_400ms_av vs lag_0,lag,0.9907166438601329
CatBoost,valence,lag_1,lag_0,-0.005362570452187474,0.8772532352762401,0.9016098390160984,16,lag_1 vs lag_0,lag,0.9907166438601329
CatBoost,valence,lag_2,lag_0,-0.009590566444117654,0.9632030380942798,0.9502049795020497,16,lag_2 vs lag_0,lag,0.9907166438601329
CatBoost,valence,lag_3,lag_0,-0.016889924065533416,0.9632030380942798,0.9045095490450955,16,lag_3 vs lag_0,lag,0.9907166438601329
CatBoost,valence,lag_4,lag_0,-0.01027888173772749,0.9632030380942798,0.9494050594940506,16,lag_4 vs lag_0,lag,0.9907166438601329
