model,target,cond_a,cond_b,median_delta,wilcoxon_p,signflip_p,n_sessions,comparison,family,wilcoxon_p_fdr
CatBoostOptuna,arousal,lag_400ms_av,lag_0,0.009418785368563748,0.3528594970703125,0.3474652534746525,16,lag_400ms_av vs lag_0,lag,0.9299269692657937
CatBoostOptuna,arousal,lag_1,lag_0,0.014829508967449348,0.201873779296875,0.25107489251074894,16,lag_1 vs lag_0,lag,0.9299269692657937
CatBoostOptuna,arousal,lag_2,lag_0,-0.0042981255370174495,0.6282196044921875,0.593940605939406,16,lag_2 vs lag_0,lag,0.9299269692657937
CatBoostOptuna,arousal,lag_3,lag_0,-0.003150409368639347,0.7359161376953125,0.8715128487151285,16,lag_3 vs lag_0,lag,0.9299269692657937
CatBoostOptuna,arousal,lag_4,lag_0,-0.01578606853108355,0.76812744140625,0.7863213678632137,16,lag_4 vs lag_0,lag,0.9299269692657937
CatBoostOptuna,valence,lag_400ms_av,lag_0,-0.00210071408473555,0.7451012575195681,0.46125387461253875,16,lag_400ms_av vs lag_0,lag,0.9299269692657937
CatBoostOptuna,valence,lag_1,lag_0,-0.00012643372024874998,0.8772532352762401,0.8892110788921108,16,lag_1 vs lag_0,lag,0.9299269692657937
CatBoostOptuna,valence,lag_2,lag_0,-0.00276165242310425,0.9299269692657938,0.8931106889311069,16,lag_2 vs lag_0,lag,0.9299269692657937
CatBoostOptuna,valence,lag_3,lag_0,-0.0034235437579755,0.8016368835274685,0.7635236476352365,16,lag_3 vs lag_0,lag,0.9299269692657937
CatBoostOptuna,valence,lag_4,lag_0,-0.0008366804873112,0.6811166505361984,0.41315868413158685,16,lag_4 vs lag_0,lag,0.9299269692657937
